Date,StockValue,BondValue,ETFValue,CashValue,CashAddition,CashWithdrawal
2022-01-01,32421.46,110819.9,17658.12,9600.53,0.0,0
2022-01-15,32596.17,111265.33,17712.28,9111.7,0.0,0
2022-02-01,32771.83,111712.55,17766.62,8647.77,0.0,0
2022-02-15,32948.43,112161.57,17821.12,8207.46,0.0,0
2022-03-01,33125.98,112612.39,17875.79,7789.56,0.0,0
2022-03-15,33304.49,113065.03,17930.63,9392.94,2000.0,0
2022-04-01,33483.96,113519.48,17985.63,9016.52,0.0,0
2022-04-15,33664.4,113975.76,18040.8,8659.27,0.0,0
2022-05-01,33845.81,114433.88,18096.15,8320.2,0.0,0
2022-05-15,34028.2,114893.83,18151.66,7998.4,0.0,0
2022-06-01,34211.57,115355.64,18207.34,10692.98,3000.0,0
2022-06-15,34395.93,115819.3,18263.19,10403.11,0.0,0
2022-07-01,34581.29,116284.82,18319.22,10128.01,0.0,0
2022-07-15,34767.64,116752.22,18375.42,9866.91,0.0,0
2022-08-01,34954.99,117221.49,18431.78,9619.1,0.0,0
2022-08-15,35143.36,117692.66,18488.33,9383.91,0.0,0
2022-09-01,35332.74,118165.71,18545.04,9160.7,0.0,0
2022-09-15,35523.14,118640.67,18601.93,8948.85,0.0,0
2022-10-01,35714.57,119117.53,18659.0,8747.79,0.0,0
2022-10-15,35907.03,119596.31,18716.23,8556.97,0.0,0
2022-11-01,36100.53,120077.02,18773.65,8375.86,0.0,0
2022-11-15,36295.07,120559.66,18831.24,8203.97,0.0,0
2022-12-01,36490.65,121044.24,18889.01,8040.84,0.0,0
2022-12-15,36687.29,121530.76,18946.95,9386.01,1500.0,0
2022-12-31,36885.0,122019.24,19005.07,9239.06,0.0,0
2023-01-01,37083.76,122509.69,19063.37,9099.6,0.0,0
2023-01-15,37283.6,123002.11,19121.85,8967.24,0.0,0
2023-02-01,37484.51,123496.5,19180.51,8841.61,0.0,0
2023-02-15,37686.51,123992.88,19239.35,10722.39,2000.0,0
2023-03-01,37889.6,124491.26,19298.37,10609.23,0.0,0
2023-03-15,38093.78,124991.64,19357.57,10501.84,0.0,0
2023-04-01,38299.06,125494.04,19416.95,10399.91,0.0,0
2023-04-15,38505.44,125998.45,19476.52,10303.17,0.0,0
2023-05-01,38712.94,126504.89,19536.26,10211.36,0.0,0
2023-05-15,38921.56,127013.36,19596.19,10124.23,0.0,0
2023-06-01,39131.3,127523.88,19656.31,10041.53,0.0,0
2023-06-15,39342.17,128036.45,19716.61,9963.04,0.0,0
2023-06-30,39554.18,128551.08,19777.09,9888.54,0.0,0
