Date,StockValue,BondValue,ETFValue,CashValue,CashAddition,CashWithdrawal
2023-01-01,129221.35,37098.74,22695.47,11934.34,0.0,0.0
2023-01-15,130093.59,37145.18,22791.99,11579.13,0.0,0.0
2023-02-01,130971.71,37191.68,22888.93,11234.49,0.0,0.0
2023-02-15,131855.77,37238.24,22986.27,10900.12,0.0,0.0
2023-03-01,132745.79,37284.86,23084.03,10575.69,0.0,0.0
2023-03-15,133641.82,37331.53,23182.21,15260.92,5000.0,0.0
2023-04-01,134543.9,37378.26,23280.8,14955.52,0.0,0.0
2023-04-15,135452.07,37425.05,23379.82,14659.21,0.0,0.0
2023-05-01,136366.36,37471.9,23479.25,14371.71,0.0,0.0
2023-05-15,137286.83,37518.81,23579.11,14092.78,0.0,0.0
2023-06-01,138213.51,37565.78,23679.39,16822.14,3000.0,0.0
2023-06-15,139146.45,37612.8,23780.1,16559.57,0.0,0.0
2023-07-01,140085.68,37659.89,23881.23,16304.8,0.0,0.0
2023-07-15,141031.26,37707.03,23982.8,16057.62,0.0,0.0
2023-08-01,141983.21,37754.23,24084.8,15817.8,0.0,0.0
2023-08-15,142941.6,37801.49,24187.23,15585.11,0.0,0.0
2023-09-01,143906.45,37848.81,24290.1,15359.35,0.0,0.0
2023-09-15,144877.81,37896.19,24393.4,15140.31,0.0,0.0
2023-09-20,145855.73,37943.63,24497.15,12927.79,0.0,2000.0
2023-10-01,146840.25,37991.13,24601.33,12721.6,0.0,0.0
2023-10-15,147831.42,38038.69,24705.96,12521.54,0.0,0.0
2023-11-01,148829.28,38086.3,24811.04,12327.43,0.0,0.0
2023-11-15,149833.87,38133.98,24916.56,12139.11,0.0,0.0
2023-12-01,150845.24,38181.72,25022.53,11956.38,0.0,0.0
2023-12-15,151863.45,38229.51,25128.95,11779.1,0.0,0.0
2023-12-31,152888.52,38277.37,25235.82,11607.09,0.0,0.0
2024-01-01,153920.51,38325.29,25343.15,11440.21,0.0,0.0
2024-01-15,154959.47,38373.26,25450.93,11278.29,0.0,0.0
2024-02-01,156005.44,38421.3,25559.17,11121.19,0.0,0.0
2024-02-15,157058.47,38469.39,25667.88,13468.76,2500.0,0.0
2024-03-01,158118.61,38517.55,25777.04,13320.87,0.0,0.0
2024-03-15,159185.91,38565.77,25886.67,13177.39,0.0,0.0
2024-04-01,160260.41,38614.04,25996.77,13038.17,0.0,0.0
2024-04-15,161342.16,38662.38,26107.33,12903.1,0.0,0.0
2024-05-01,162431.21,38710.78,26218.36,12772.05,0.0,0.0
2024-05-15,163527.62,38759.24,26329.87,12644.9,0.0,0.0
2024-06-01,164631.43,38807.76,26441.85,12521.53,0.0,0.0
2024-06-15,165742.68,38856.34,26554.31,12401.83,0.0,0.0
2024-07-01,166861.44,38904.98,26667.24,12285.7,0.0,0.0
2024-07-03,167987.75,38953.68,26780.66,12173.03,0.0,0.0
